Event,Actual,Prior,Freq.,Date,Time,Surv(M),Std Dev,nn-surprise,Surprise,DateTime
ISM Manufacturing,48.2,44.5,M,2002-01-02,09:00:00,46.0,1,2.200000000000003,2.1919555954335386,2002-01-02 09:00:00
Initial Jobless Claims,447.0,392k,W,2002-01-03,07:30:00,392.0,12.6,55.0,14.800692198439668,2002-01-03 07:30:00
Unemployment Rate,0.058,0.057,M,2002-01-04,07:30:00,0.058,0.07,0.0,0.0,2002-01-04 07:30:00
Change in Nonfarm Payrolls,-124.0,-331k,M,2002-01-04,07:30:00,-155.0,60.56,31.0,7.411369931648696,2002-01-04 07:30:00
Initial Jobless Claims,395.0,447k,W,2002-01-10,07:30:00,425.0,17.75,-30.0,-7.064002599623407,2002-01-10 07:30:00
PPI Ex Food and Energy MoM,-0.001,0.002,M,2002-01-11,07:30:00,0.001,0.06,-0.002,-0.0020006472306688308,2002-01-11 07:30:00
Industrial Production MoM,-0.001,-0.003,M,2002-01-16,08:15:00,0.0,0.2,-0.001,-0.001000342010737382,2002-01-16 08:15:00
Initial Jobless Claims,384.0,395k,W,2002-01-17,07:30:00,430.0,26.1,-46.0,-8.739419187123692,2002-01-17 07:30:00
U. of Mich. Sentiment,94.2,88.8,M,2002-01-18,08:49:00,90.0,1.47,4.200000000000003,3.8848455851156762,2002-01-18 08:49:00
Initial Jobless Claims,376.0,384k,W,2002-01-24,07:30:00,395.0,14.3,-19.0,-3.50887868242391,2002-01-24 07:30:00
GDP Annualized QoQ,0.002,-0.013,Q,2002-01-30,07:30:00,-0.011,0.67,0.013,0.013048467165438877,2002-01-30 07:30:00
Initial Jobless Claims,390.0,376k,W,2002-01-31,07:30:00,380.0,9.47,10.0,1.8392156722748223,2002-01-31 07:30:00
Unemployment Rate,0.056,0.058,M,2002-02-01,07:30:00,0.059,0.05,-0.0029999999999999957,-0.0030030226375955997,2002-02-01 07:30:00
Change in Nonfarm Payrolls,-89.0,-124k,M,2002-02-01,07:30:00,-50.0,56.31,-39.0,-5.666658064835502,2002-02-01 07:30:00
U. of Mich. Sentiment,93.0,94.2,M,2002-02-01,08:50:00,94.2,0.78,-1.2000000000000028,-1.0774811920477168,2002-02-01 08:50:00
ISM Manufacturing,49.9,48.2,M,2002-02-01,09:00:00,50.0,1.02,-0.10000000000000142,-0.09944074699870029,2002-02-01 09:00:00
Initial Jobless Claims,376.0,390k,W,2002-02-07,07:30:00,390.0,8.28,-14.0,-2.5391953918055474,2002-02-07 07:30:00
Initial Jobless Claims,373.0,376k,W,2002-02-14,07:30:00,380.0,7.49,-7.0,-1.2668684322603732,2002-02-14 07:30:00
PPI Ex Food and Energy MoM,-0.001,-0.001,M,2002-02-15,07:30:00,0.001,0.07,-0.002,-0.002001980384257516,2002-02-15 07:30:00
Industrial Production MoM,-0.001,-0.001,M,2002-02-15,08:15:00,-0.002,0.24,0.001,0.0010010621210407365,2002-02-15 08:15:00
U. of Mich. Sentiment,90.9,93,M,2002-02-15,08:50:00,93.8,1.44,-2.8999999999999915,-2.3691368373245347,2002-02-15 08:50:00
Initial Jobless Claims,383.0,373k,W,2002-02-21,07:30:00,375.0,6.25,8.0,1.4455792946705004,2002-02-21 07:30:00
GDP Annualized QoQ,0.014,0.002,Q,2002-02-28,07:30:00,0.009,0.32,0.005000000000000001,0.005048135536758831,2002-02-28 07:30:00
Initial Jobless Claims,378.0,383k,W,2002-02-28,07:30:00,384.0,9.86,-6.0,-1.0830180069380235,2002-02-28 07:30:00
U. of Mich. Sentiment,90.7,90.9,M,2002-03-01,08:50:00,91.0,0.39,-0.29999999999999716,-0.24510061547856543,2002-03-01 08:50:00
ISM Manufacturing,54.7,49.9,M,2002-03-01,09:00:00,51.0,0.81,3.700000000000003,3.48743735429005,2002-03-01 09:00:00
Initial Jobless Claims,376.0,378k,W,2002-03-07,07:30:00,375.0,5.43,1.0,0.1809036210991374,2002-03-07 07:30:00
Unemployment Rate,0.055,0.056,M,2002-03-08,07:30:00,0.058,0.07,-0.0030000000000000027,-0.0030059428459611195,2002-03-08 07:30:00
Change in Nonfarm Payrolls,66.0,-89k,M,2002-03-08,07:30:00,0.0,44.38,66.0,5.915725412574596,2002-03-08 07:30:00
Initial Jobless Claims,377.0,376k,W,2002-03-14,07:30:00,375.0,5.65,2.0,0.362570867119212,2002-03-14 07:30:00
PPI Ex Food and Energy MoM,0.0,-0.001,M,2002-03-15,07:30:00,0.001,0.06,-0.001,-0.001001999797034927,2002-03-15 07:30:00
Industrial Production MoM,0.004,-0.001,M,2002-03-15,08:15:00,0.002,0.13,0.002,0.0020042449857488208,2002-03-15 08:15:00
U. of Mich. Sentiment,95.0,90.7,M,2002-03-15,08:48:00,93.0,1.38,2.0,1.6379152079156551,2002-03-15 08:48:00
Initial Jobless Claims,371.0,377k,W,2002-03-21,07:30:00,375.0,4.28,-4.0,-0.7255665870676881,2002-03-21 07:30:00
GDP Annualized QoQ,0.017,0.014,Q,2002-03-28,07:30:00,0.014,0.08,0.003000000000000001,0.0030531824842820934,2002-03-28 07:30:00
Initial Jobless Claims,394.0,371k,W,2002-03-28,07:30:00,375.0,4.16,19.0,3.3733311626015237,2002-03-28 07:30:00
U. of Mich. Sentiment,95.7,95,M,2002-03-28,08:35:00,95.0,0.6,0.7000000000000028,0.5786066865309729,2002-03-28 08:35:00
ISM Manufacturing,55.6,54.7,M,2002-04-01,09:00:00,54.8,1.02,0.8000000000000043,0.7609303545243372,2002-04-01 09:00:00
Initial Jobless Claims,460.0,394k,W,2002-04-04,07:30:00,380.0,6.38,80.0,10.403006745329852,2002-04-04 07:30:00
Unemployment Rate,0.057,0.055,M,2002-04-05,07:30:00,0.056,0.06,0.0010000000000000009,0.0010033344609135415,2002-04-05 07:30:00
Change in Nonfarm Payrolls,58.0,66k,M,2002-04-05,07:30:00,50.0,39.81,8.0,0.7220704857492913,2002-04-05 07:30:00
Initial Jobless Claims,438.0,460k,W,2002-04-11,07:30:00,435.0,25.83,3.0,0.3909312354241168,2002-04-11 07:30:00
PPI Ex Food and Energy MoM,0.001,0,M,2002-04-12,07:30:00,0.001,0.06,0.0,0.0,2002-04-12 07:30:00
U. of Mich. Sentiment,94.4,95.7,M,2002-04-12,08:50:00,96.1,1.46,-1.6999999999999886,-1.3597102373704677,2002-04-12 08:50:00
Industrial Production MoM,0.007,0.004,M,2002-04-16,08:15:00,0.005,0.2,0.002,0.0020069773774204656,2002-04-16 08:15:00
Initial Jobless Claims,445.0,438k,W,2002-04-18,07:30:00,411.0,12.13,34.0,4.271263704409068,2002-04-18 07:30:00
Initial Jobless Claims,421.0,445k,W,2002-04-25,07:30:00,425.0,14.57,-4.0,-0.50312393086717,2002-04-25 07:30:00
GDP Annualized QoQ,0.058,0.017,Q,2002-04-26,07:30:00,0.05,0.66,0.008,0.008224916608462906,2002-04-26 07:30:00
U. of Mich. Sentiment,93.0,94.4,M,2002-04-26,08:47:00,94.5,0.37,-1.5,-1.1721057731674405,2002-04-26 08:47:00
ISM Manufacturing,53.9,55.6,M,2002-05-01,09:00:00,55.0,0.83,-1.1000000000000014,-1.0174207393742047,2002-05-01 09:00:00
Initial Jobless Claims,418.0,421k,W,2002-05-02,07:30:00,405.0,8.34,13.0,1.6310051148471019,2002-05-02 07:30:00
Unemployment Rate,0.06,0.057,M,2002-05-03,07:30:00,0.058,0.08,0.001999999999999995,0.0020099944920655183,2002-05-03 07:30:00
Change in Nonfarm Payrolls,43.0,58k,M,2002-05-03,07:30:00,58.0,29.14,-15.0,-1.3373181830292136,2002-05-03 07:30:00
Initial Jobless Claims,411.0,418k,W,2002-05-09,07:30:00,407.0,7.34,4.0,0.5028408776446476,2002-05-09 07:30:00
PPI Ex Food and Energy MoM,0.001,0.001,M,2002-05-10,07:30:00,0.001,0.09,0.0,0.0,2002-05-10 07:30:00
Industrial Production MoM,0.004,0.007,M,2002-05-15,08:15:00,0.004,0.13,0.0,0.0,2002-05-15 08:15:00
Initial Jobless Claims,418.0,411k,W,2002-05-16,07:30:00,405.0,7.34,13.0,1.6301799209652685,2002-05-16 07:30:00
U. of Mich. Sentiment,96.0,93,M,2002-05-17,08:47:00,93.0,0.99,3.0,2.3062236399534597,2002-05-17 08:47:00
Initial Jobless Claims,416.0,418k,W,2002-05-23,07:30:00,410.0,7.9,6.0,0.7535133043308725,2002-05-23 07:30:00
GDP Annualized QoQ,0.056,0.058,Q,2002-05-24,07:30:00,0.06,0.25,-0.003999999999999997,-0.004159241458284435,2002-05-24 07:30:00
Initial Jobless Claims,410.0,416k,W,2002-05-30,07:30:00,410.0,6.29,0.0,0.0,2002-05-30 07:30:00
U. of Mich. Sentiment,96.9,96,M,2002-05-31,08:50:00,96.0,0.58,0.9000000000000057,0.6985584917220423,2002-05-31 08:50:00
ISM Manufacturing,55.7,53.9,M,2002-06-03,09:00:00,54.7,0.99,1.0,0.9338748847577694,2002-06-03 09:00:00
Initial Jobless Claims,383.0,410k,W,2002-06-06,07:30:00,405.0,5.71,-22.0,-2.7232500242072515,2002-06-06 07:30:00
Unemployment Rate,0.058,0.06,M,2002-06-07,07:30:00,0.061,0.08,-0.0029999999999999957,-0.003020559323587621,2002-06-07 07:30:00
Change in Nonfarm Payrolls,41.0,43k,M,2002-06-07,07:30:00,68.0,27.81,-27.0,-2.292916870791462,2002-06-07 07:30:00
PPI Ex Food and Energy MoM,0.0,0.001,M,2002-06-13,07:30:00,0.001,0.06,-0.001,-0.0010068545558361162,2002-06-13 07:30:00
Initial Jobless Claims,390.0,383k,W,2002-06-13,07:30:00,394.0,11.3,-4.0,-0.4957634142613282,2002-06-13 07:30:00
Industrial Production MoM,0.002,0.004,M,2002-06-14,08:15:00,0.003,0.13,-0.001,-0.0010069981716097397,2002-06-14 08:15:00
U. of Mich. Sentiment,90.8,96.9,M,2002-06-14,08:50:00,96.5,0.82,-5.700000000000003,-3.661810998545822,2002-06-14 08:50:00
Initial Jobless Claims,393.0,390k,W,2002-06-20,07:30:00,386.0,5.93,7.0,0.8685581387145093,2002-06-20 07:30:00
GDP Annualized QoQ,0.061,0.056,Q,2002-06-27,07:30:00,0.056,0.12,0.0049999999999999975,0.005268240581558718,2002-06-27 07:30:00
Initial Jobless Claims,388.0,393k,W,2002-06-27,07:30:00,390.0,4.05,-2.0,-0.2486182292438969,2002-06-27 07:30:00
U. of Mich. Sentiment,92.4,90.8,M,2002-06-28,08:45:00,90.8,0.53,1.6000000000000085,1.0349767910252379,2002-06-28 08:45:00
ISM Manufacturing,56.2,55.7,M,2002-07-01,09:00:00,55.5,0.84,0.7000000000000028,0.6595292550118694,2002-07-01 09:00:00
Initial Jobless Claims,382.0,388k,W,2002-07-03,07:30:00,385.0,5.6,-3.0,-0.37352058916856024,2002-07-03 07:30:00
Unemployment Rate,0.059,0.058,M,2002-07-05,07:30:00,0.059,0.07,0.0,0.0,2002-07-05 07:30:00
